Testcase,Algorithm,Nodes,Edges,MaxFlow,RuntimeMs
coingrid-6.in,Edmonds-Karp,204,405,82,0
coingrid-6.in,Scaling,204,405,82,0
coingrid-6.in,Dinic,204,405,82,0
coingrid-6.in,Dinic-Scaling,204,405,82,0
coingrid-6.in,ISAP,204,405,82,0
coingrid-6.in,MPM,204,405,82,0
coingrid-6.in,Push-Relabel,204,405,82,0
coingrid-6.in,Push-Relabel-Highest,204,405,82,0
coingrid-6.in,Push-Relabel-Gap,204,405,82,0
coingrid-6.in,Push-Relabel-HG,204,405,82,0
coingrid-6.in,HLPP,204,405,82,0
coingrid-7.in,Edmonds-Karp,204,674,99,0
coingrid-7.in,Scaling,204,674,99,0
coingrid-7.in,Dinic,204,674,99,0
coingrid-7.in,Dinic-Scaling,204,674,99,0
coingrid-7.in,ISAP,204,674,99,0
coingrid-7.in,MPM,204,674,99,0
coingrid-7.in,Push-Relabel,204,674,99,1
coingrid-7.in,Push-Relabel-Highest,204,674,99,2
coingrid-7.in,Push-Relabel-Gap,204,674,99,2
coingrid-7.in,Push-Relabel-HG,204,674,99,0
coingrid-7.in,HLPP,204,674,99,0
coingrid-8.in,Edmonds-Karp,204,10202,100,0
coingrid-8.in,Scaling,204,10202,100,0
coingrid-8.in,Dinic,204,10202,100,0
coingrid-8.in,Dinic-Scaling,204,10202,100,0
coingrid-8.in,ISAP,204,10202,100,0
coingrid-8.in,MPM,204,10202,100,2
coingrid-8.in,Push-Relabel,204,10202,100,0
coingrid-8.in,Push-Relabel-Highest,204,10202,100,0
coingrid-8.in,Push-Relabel-Gap,204,10202,100,0
coingrid-8.in,Push-Relabel-HG,204,10202,100,0
coingrid-8.in,HLPP,204,10202,100,0
coingrid-9.in,Edmonds-Karp,10,9,1,0
coingrid-9.in,Scaling,10,9,1,0
coingrid-9.in,Dinic,10,9,1,0
coingrid-9.in,Dinic-Scaling,10,9,1,0
coingrid-9.in,ISAP,10,9,1,0
coingrid-9.in,MPM,10,9,1,0
coingrid-9.in,Push-Relabel,10,9,1,0
coingrid-9.in,Push-Relabel-Highest,10,9,1,0
coingrid-9.in,Push-Relabel-Gap,10,9,1,0
coingrid-9.in,Push-Relabel-HG,10,9,1,0
coingrid-9.in,HLPP,10,9,1,0
complete-1000-0.in,Edmonds-Karp,1000,997002,1052964306102,3091
complete-1000-0.in,Scaling,1000,997002,TLE,TLE
complete-1000-0.in,Dinic,1000,997002,1052964306102,6
complete-1000-0.in,Dinic-Scaling,1000,997002,1052964306102,40
complete-1000-0.in,ISAP,1000,997002,1052964306102,12
complete-1000-0.in,MPM,1000,997002,1052964306102,599
complete-1000-0.in,Push-Relabel,1000,997002,TLE,TLE
complete-1000-0.in,Push-Relabel-Highest,1000,997002,TLE,TLE
complete-1000-0.in,Push-Relabel-Gap,1000,997002,TLE,TLE
complete-1000-0.in,Push-Relabel-HG,1000,997002,1052964306102,7
complete-1000-0.in,HLPP,1000,997002,1052964306102,9
complete-1000-1.in,Edmonds-Karp,1000,997002,1082087213611,3327
complete-1000-1.in,Scaling,1000,997002,TLE,TLE
complete-1000-1.in,Dinic,1000,997002,1082087213611,6
complete-1000-1.in,Dinic-Scaling,1000,997002,1082087213611,40
complete-1000-1.in,ISAP,1000,997002,1082087213611,12
complete-1000-1.in,MPM,1000,997002,1082087213611,617
complete-1000-1.in,Push-Relabel,1000,997002,TLE,TLE
complete-1000-1.in,Push-Relabel-Highest,1000,997002,TLE,TLE
complete-1000-1.in,Push-Relabel-Gap,1000,997002,TLE,TLE
complete-1000-1.in,Push-Relabel-HG,1000,997002,1082087213611,7
complete-1000-1.in,HLPP,1000,997002,1082087213611,9
complete-1000-2.in,Edmonds-Karp,1000,997002,1030295684087,3298
complete-1000-2.in,Scaling,1000,997002,TLE,TLE
complete-1000-2.in,Dinic,1000,997002,1030295684087,6
complete-1000-2.in,Dinic-Scaling,1000,997002,1030295684087,41
complete-1000-2.in,ISAP,1000,997002,1030295684087,12
complete-1000-2.in,MPM,1000,997002,1030295684087,606
complete-1000-2.in,Push-Relabel,1000,997002,TLE,TLE
complete-1000-2.in,Push-Relabel-Highest,1000,997002,TLE,TLE
complete-1000-2.in,Push-Relabel-Gap,1000,997002,TLE,TLE
complete-1000-2.in,Push-Relabel-HG,1000,997002,1030295684087,7
complete-1000-2.in,HLPP,1000,997002,1030295684087,9
complete-1000-3.in,Edmonds-Karp,1000,997002,1093733332294,3149
complete-1000-3.in,Scaling,1000,997002,TLE,TLE
complete-1000-3.in,Dinic,1000,997002,1093733332294,5
complete-1000-3.in,Dinic-Scaling,1000,997002,1093733332294,5
complete-1000-3.in,ISAP,1000,997002,1093733332294,12
complete-1000-3.in,MPM,1000,997002,1093733332294,602
complete-1000-3.in,Push-Relabel,1000,997002,1093733332294,13
complete-1000-3.in,Push-Relabel-Highest,1000,997002,1093733332294,11
complete-1000-3.in,Push-Relabel-Gap,1000,997002,1093733332294,15
complete-1000-3.in,Push-Relabel-HG,1000,997002,1093733332294,7
complete-1000-3.in,HLPP,1000,997002,1093733332294,6
complete-1000-4.in,Edmonds-Karp,1000,997002,1048532988047,3351
complete-1000-4.in,Scaling,1000,997002,TLE,TLE
complete-1000-4.in,Dinic,1000,997002,1048532988047,5
complete-1000-4.in,Dinic-Scaling,1000,997002,1048532988047,6
complete-1000-4.in,ISAP,1000,997002,1048532988047,12
complete-1000-4.in,MPM,1000,997002,1048532988047,626
complete-1000-4.in,Push-Relabel,1000,997002,1048532988047,13
complete-1000-4.in,Push-Relabel-Highest,1000,997002,1048532988047,11
complete-1000-4.in,Push-Relabel-Gap,1000,997002,1048532988047,15
complete-1000-4.in,Push-Relabel-HG,1000,997002,1048532988047,7
complete-1000-4.in,HLPP,1000,997002,1048532988047,6
complete-2000-0.in,Edmonds-Karp,2000,3994002,TLE,TLE
complete-2000-0.in,Scaling,2000,3994002,TLE,TLE
complete-2000-0.in,Dinic,2000,3994002,2144706753438,26
complete-2000-0.in,Dinic-Scaling,2000,3994002,2144706753438,171
complete-2000-0.in,ISAP,2000,3994002,2144706753438,60
complete-2000-0.in,MPM,2000,3994002,TLE,TLE
complete-2000-0.in,Push-Relabel,2000,3994002,TLE,TLE
complete-2000-0.in,Push-Relabel-Highest,2000,3994002,TLE,TLE
complete-2000-0.in,Push-Relabel-Gap,2000,3994002,TLE,TLE
complete-2000-0.in,Push-Relabel-HG,2000,3994002,2144706753438,29
complete-2000-0.in,HLPP,2000,3994002,2144706753438,38
complete-2000-1.in,Edmonds-Karp,2000,3994002,TLE,TLE
complete-2000-1.in,Scaling,2000,3994002,TLE,TLE
complete-2000-1.in,Dinic,2000,3994002,2131624838689,22
complete-2000-1.in,Dinic-Scaling,2000,3994002,2131624838689,23
complete-2000-1.in,ISAP,2000,3994002,2131624838689,57
complete-2000-1.in,MPM,2000,3994002,TLE,TLE
complete-2000-1.in,Push-Relabel,2000,3994002,2131624838689,56
complete-2000-1.in,Push-Relabel-Highest,2000,3994002,2131624838689,55
